id,stockout_days,lost_units,total_demand,fill_rate,avg_on_hand
FOODS_1_195_CA_1_evaluation,1,0.2119483304433345,63.0,0.9966357407866138,9.124619407445476
FOODS_1_196_CA_1_evaluation,0,0.0,29.0,1.0,10.279983764502862
FOODS_1_197_CA_1_evaluation,0,0.0,33.0,1.0,6.103233535268666
FOODS_1_198_CA_1_evaluation,1,0.740829965569668,2.0,0.629585017215166,1.178485390343535
FOODS_1_199_CA_1_evaluation,0,0.0,22.0,1.0,5.891861089265989
FOODS_1_200_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_201_CA_1_evaluation,0,0.0,91.0,1.0,16.229894299243597
FOODS_1_202_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_203_CA_1_evaluation,1,0.6286538250242195,20.0,0.968567308748789,4.528509631231837
FOODS_1_204_CA_1_evaluation,1,2.0131927610630136,52.0,0.961284754594942,15.990105429202742
FOODS_1_205_CA_1_evaluation,0,0.0,16.0,1.0,5.726521902597511
FOODS_1_206_CA_1_evaluation,0,0.0,37.0,1.0,19.748403465194865
FOODS_1_207_CA_1_evaluation,2,1.8267179591508107,38.0,0.9519284747591892,3.9156758163511762
FOODS_1_208_CA_1_evaluation,0,0.0,45.0,1.0,10.456064504836917
FOODS_1_209_CA_1_evaluation,3,1.820379365960548,30.0,0.9393206878013151,3.8306194442241486
FOODS_1_210_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_211_CA_1_evaluation,0,0.0,0.0,1.0,0.1223401212413505
FOODS_1_212_CA_1_evaluation,1,0.09094782983781435,5.0,0.9818104340324372,1.9317891276216383
FOODS_1_213_CA_1_evaluation,0,0.0,13.0,1.0,6.825735553773026
FOODS_1_214_CA_1_evaluation,0,0.0,20.0,1.0,4.418052636325565
FOODS_1_215_CA_1_evaluation,0,0.0,24.0,1.0,12.473443793437351
FOODS_1_216_CA_1_evaluation,0,0.0,12.0,1.0,6.064621906029936
FOODS_1_217_CA_1_evaluation,2,9.109160877313123,46.0,0.8019747635366712,9.668129342015161
FOODS_1_218_CA_1_evaluation,1,22.254001265444558,420.0,0.9470142827013225,39.32707038909912
FOODS_1_219_CA_1_evaluation,4,8.837723880970515,99.0,0.9107300618083787,16.65742137498639
FOODS_2_001_CA_1_evaluation,0,0.0,0.0,1.0,0.09571626636890891
FOODS_2_002_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_003_CA_1_evaluation,0,0.0,36.0,1.0,4.71899192707381
FOODS_2_004_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_2_005_CA_1_evaluation,1,0.07548558179592568,10.0,0.9924514418204075,2.65767152793877
